Date,Open,High,Low,Close,Adj Close,Volume
2020-11-13,1120.000000,1133.000000,1117.000000,1124.199951,1124.199951,6363212
2020-11-14,null,null,null,null,null,null
2020-11-17,1144.750000,1145.000000,1112.650024,1123.699951,1123.699951,12813968
2020-11-18,1128.500000,1132.699951,1101.449951,1110.550049,1110.550049,9839468
2020-11-19,1100.000000,1114.699951,1093.800049,1096.750000,1096.750000,10092343
2020-11-20,1106.000000,1109.000000,1091.099976,1103.349976,1103.349976,8063554
2020-11-23,1105.000000,1144.800049,1101.949951,1139.849976,1139.849976,10546363
2020-11-24,1145.000000,1154.900024,1133.349976,1140.050049,1140.050049,8515426
2020-11-25,1137.000000,1143.500000,1111.250000,1115.650024,1115.650024,8958701
2020-11-26,1119.949951,1119.949951,1098.300049,1113.199951,1113.199951,10962256
2020-11-27,1118.000000,1121.000000,1091.000000,1100.000000,1100.000000,25306145
2020-12-01,1105.050049,1140.250000,1105.050049,1137.849976,1137.849976,8933802
2020-12-02,1134.000000,1147.449951,1121.000000,1140.900024,1140.900024,6741637
2020-12-03,1147.000000,1147.000000,1122.699951,1126.449951,1126.449951,16212632
2020-12-04,1125.000000,1137.000000,1115.000000,1134.650024,1134.650024,10564055
2020-12-07,1147.300049,1153.000000,1136.000000,1143.500000,1143.500000,7792141
2020-12-08,1145.000000,1167.000000,1145.000000,1153.349976,1153.349976,12308330
2020-12-09,1168.050049,1179.500000,1157.000000,1175.199951,1175.199951,10039346
2020-12-10,1157.400024,1171.650024,1150.000000,1167.750000,1167.750000,9488782
2020-12-11,1159.699951,1171.949951,1155.250000,1163.199951,1163.199951,10574009
2020-12-14,1169.400024,1172.599976,1148.199951,1164.550049,1164.550049,6728187
2020-12-15,1156.000000,1163.699951,1152.000000,1154.599976,1154.599976,6905926
2020-12-16,1160.000000,1168.900024,1153.599976,1165.699951,1165.699951,7788404
2020-12-17,1165.900024,1168.900024,1156.199951,1159.199951,1159.199951,6658153
2020-12-18,1182.849976,1195.000000,1175.599976,1189.800049,1189.800049,15995676
2020-12-21,1188.000000,1209.750000,1152.050049,1177.300049,1177.300049,10858352
2020-12-22,1182.000000,1223.849976,1176.099976,1220.500000,1220.500000,10901851
2020-12-23,1238.000000,1258.849976,1230.550049,1253.050049,1253.050049,15878346
2020-12-24,1249.900024,1249.900024,1226.000000,1236.050049,1236.050049,7313885
2020-12-28,1238.449951,1248.000000,1236.000000,1240.300049,1240.300049,4604058
